fixture_id,league_id,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1261161,11,Sportivo Ameliano,Libertad Asuncion,0.0,0.0,2.0,1.0,1.0,0.0,0,6
1265728,11,Atletico Paranaense,Belgrano Cordoba,2.0,1.0,3.0,5.0,,,9,5
1265729,11,Belgrano Cordoba,Atletico Paranaense,0.0,2.0,2.0,3.0,0.0,1.0,12,1
1265730,11,Palestino,Independiente Medellin,2.0,2.0,1.0,1.0,,,3,7
1265731,11,Independiente Medellin,Palestino,4.0,0.0,0.0,2.0,,,6,5
1265732,11,LDU de Quito,Lanus,1.0,2.0,2.0,1.0,,,13,8
1265733,11,Lanus,LDU de Quito,3.0,1.0,2.0,3.0,,,4,3
1294586,11,Fortaleza EC,Corinthians,,,0.0,0.0,0.0,0.0,0,0
1294587,11,Corinthians,Fortaleza EC,,,0.0,0.0,0.0,0.0,0,0
1294588,11,Lanus,Independiente Medellin,,,0.0,0.0,0.0,0.0,0,0
1294589,11,Independiente Medellin,Lanus,,,0.0,0.0,0.0,0.0,0,0
1295060,11,Atletico Paranaense,Racing Club,,,0.0,0.0,0.0,0.0,0,0
1295061,11,Racing Club,Atletico Paranaense,,,0.0,0.0,0.0,0.0,0,0
1295062,11,Libertad Asuncion,Cruzeiro,,,0.0,0.0,0.0,0.0,0,0
1295063,11,Cruzeiro,Libertad Asuncion,,,0.0,0.0,0.0,0.0,0,0
1170083,73,Sousa,Cruzeiro,2.0,0.0,2.0,4.0,,,2,6
