fixture_id,league_id,season,round,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1294402,13,2024,Quarter-finals,River Plate,Colo Colo,,,0.0,0.0,0.0,0.0,0,0
1295064,13,2024,Quarter-finals,Botafogo,Sao Paulo,,,0.0,0.0,0.0,0.0,0,0
1295065,13,2024,Quarter-finals,Sao Paulo,Botafogo,,,0.0,0.0,0.0,0.0,0,0
1295066,13,2024,Quarter-finals,Flamengo,Penarol,,,0.0,0.0,0.0,0.0,0,0
1295067,13,2024,Quarter-finals,Penarol,Flamengo,,,0.0,0.0,0.0,0.0,0,0
1150508,11,2024,1st Round,Real Tomayapo,Jorge Wilstermann,0.0,0.0,1.0,1.0,,,5,4
1150509,11,2024,1st Round,Universitario de Vinto,Nacional Potosí,0.0,2.0,0.0,4.0,0.0,1.0,9,4
1150510,11,2024,1st Round,Everton de Vina,Union La Calera,0.0,1.0,2.0,4.0,,,10,3
1150511,11,2024,1st Round,Deportes Tolima,Independiente Medellin,0.0,0.0,1.0,1.0,,,7,4
1150512,11,2024,1st Round,U. Catolica,Coquimbo Unido,0.0,2.0,2.0,2.0,,,5,6
1150513,11,2024,1st Round,Alianza Petrolera,America de Cali,2.0,1.0,0.0,5.0,,,1,4
1150514,11,2024,1st Round,Deportivo Cuenca,Delfin SC,2.0,5.0,2.0,4.0,,,4,4
1150515,11,2024,1st Round,Tecnico Universitario,Universidad Catolica,0.0,3.0,2.0,4.0,,,8,1
1150516,11,2024,1st Round,Club Guarani,Sportivo Luqueno,0.0,1.0,3.0,2.0,,,4,5
1150517,11,2024,1st Round,Sportivo Ameliano,Olimpia,2.0,0.0,1.0,6.0,,,3,6
1150518,11,2024,1st Round,Deportivo Garcilaso,ADT,0.0,0.0,2.0,4.0,,,4,3
1150519,11,2024,1st Round,Cesar Vallejo,Sport Huancayo,2.0,0.0,2.0,1.0,,,6,2
1150520,11,2024,1st Round,Wanderers,Danubio,0.0,1.0,3.0,1.0,,,2,1
1150521,11,2024,1st Round,Racing Montevideo,Cerro Largo,2.0,0.0,3.0,1.0,,,1,8
1150522,11,2024,1st Round,Carabobo FC,Metropolitanos FC,1.0,1.0,2.0,1.0,0.0,1.0,8,4
1150523,11,2024,1st Round,Rayo Zuliano,Real Esppor Club,0.0,0.0,2.0,2.0,,,2,5
1187089,11,2024,Group Stage - 1,Sportivo Ameliano,Atletico Paranaense,1.0,4.0,0.0,2.0,,,2,6
1187090,11,2024,Group Stage - 1,Nacional Asuncion,Argentinos JRS,2.0,3.0,2.0,1.0,,,3,2
1187091,11,2024,Group Stage - 1,Belgrano Cordoba,Internacional,0.0,0.0,2.0,3.0,,,5,5
1187092,11,2024,Group Stage - 1,Racing Montevideo,Corinthians,1.0,1.0,2.0,2.0,,,4,6
1187093,11,2024,Group Stage - 1,Cesar Vallejo,Defensa Y Justicia,0.0,1.0,2.0,2.0,,,1,6
1187094,11,2024,Group Stage - 1,Rayo Zuliano,Danubio,0.0,2.0,3.0,3.0,,,3,6
1187095,11,2024,Group Stage - 1,Cuiaba,Lanus,1.0,1.0,0.0,3.0,,,4,0
1187096,11,2024,Group Stage - 1,Nacional Potosí,Boca Juniors,0.0,0.0,4.0,5.0,,,4,5
1187097,11,2024,Group Stage - 1,Sportivo Trinidense,Fortaleza EC,0.0,2.0,2.0,3.0,0.0,1.0,11,6
1187098,11,2024,Group Stage - 1,RB Bragantino,Coquimbo Unido,1.0,0.0,2.0,2.0,,,3,4
1187099,11,2024,Group Stage - 1,Alianza Petrolera,Union La Calera,0.0,1.0,4.0,3.0,,,2,3
1187100,11,2024,Group Stage - 1,Deportivo Garcilaso,Metropolitanos FC,3.0,2.0,0.0,3.0,,,8,0
1187101,11,2024,Group Stage - 1,Sportivo Luqueno,Racing Club,0.0,2.0,2.0,3.0,,,3,1
1187102,11,2024,Group Stage - 1,Universidad Catolica,Cruzeiro,0.0,0.0,1.0,1.0,,,7,0
1187103,11,2024,Group Stage - 1,Always Ready,Independiente Medellin,2.0,0.0,1.0,2.0,,,6,5
1187104,11,2024,Group Stage - 1,Real Tomayapo,Delfin SC,0.0,2.0,1.0,1.0,,,0,7
1187105,11,2024,Group Stage - 2,Argentinos JRS,Racing Montevideo,0.0,3.0,2.0,2.0,,,9,1
1187106,11,2024,Group Stage - 2,Corinthians,Nacional Asuncion,4.0,0.0,2.0,2.0,0.0,1.0,10,0
1187107,11,2024,Group Stage - 2,Danubio,Sportivo Ameliano,0.0,0.0,0.0,3.0,,,4,4
1187108,11,2024,Group Stage - 2,Boca Juniors,Sportivo Trinidense,1.0,0.0,0.0,5.0,,,10,6
1187109,11,2024,Group Stage - 2,Atletico Paranaense,Rayo Zuliano,6.0,0.0,0.0,1.0,,,5,5
1187110,11,2024,Group Stage - 2,Defensa Y Justicia,Always Ready,1.0,1.0,4.0,5.0,,,3,3
1187111,11,2024,Group Stage - 2,Fortaleza EC,Nacional Potosí,5.0,0.0,2.0,0.0,1.0,0.0,4,3
1187112,11,2024,Group Stage - 2,Union La Calera,Universidad Catolica,0.0,1.0,1.0,2.0,,,11,3
1187113,11,2024,Group Stage - 2,Internacional,Real Tomayapo,0.0,0.0,2.0,1.0,,,12,0
1187114,11,2024,Group Stage - 2,Racing Club,RB Bragantino,3.0,0.0,2.0,2.0,0.0,1.0,4,5
1187115,11,2024,Group Stage - 2,Independiente Medellin,Cesar Vallejo,4.0,2.0,0.0,1.0,,,6,3
1187116,11,2024,Group Stage - 2,Lanus,Deportivo Garcilaso,2.0,1.0,1.0,1.0,0.0,1.0,8,1
1187117,11,2024,Group Stage - 2,Metropolitanos FC,Cuiaba,0.0,2.0,,,,,3,2
1187118,11,2024,Group Stage - 2,Cruzeiro,Alianza Petrolera,3.0,3.0,3.0,1.0,,,7,1
1187119,11,2024,Group Stage - 2,Coquimbo Unido,Sportivo Luqueno,1.0,0.0,3.0,4.0,,,3,2
1187120,11,2024,Group Stage - 2,Delfin SC,Belgrano Cordoba,1.0,1.0,3.0,5.0,,,9,2
1187121,11,2024,Group Stage - 3,Union La Calera,Cruzeiro,0.0,0.0,2.0,3.0,,,6,5
1187122,11,2024,Group Stage - 3,Deportivo Garcilaso,Cuiaba,1.0,1.0,2.0,2.0,1.0,1.0,7,2
1187123,11,2024,Group Stage - 3,Sportivo Trinidense,Nacional Potosí,2.0,0.0,2.0,1.0,,,4,3
1187124,11,2024,Group Stage - 3,Argentinos JRS,Corinthians,1.0,0.0,5.0,2.0,0.0,1.0,4,4
1187125,11,2024,Group Stage - 3,Alianza Petrolera,Universidad Catolica,1.0,3.0,2.0,3.0,,,1,1
1187126,11,2024,Group Stage - 3,Danubio,Atletico Paranaense,0.0,1.0,1.0,1.0,,,5,5
1187127,11,2024,Group Stage - 3,Coquimbo Unido,Racing Club,1.0,2.0,2.0,2.0,,,7,1
1187128,11,2024,Group Stage - 3,RB Bragantino,Sportivo Luqueno,2.0,1.0,3.0,2.0,,,6,1
1187129,11,2024,Group Stage - 3,Real Tomayapo,Belgrano Cordoba,0.0,2.0,2.0,2.0,0.0,1.0,3,4
1187130,11,2024,Group Stage - 3,Rayo Zuliano,Sportivo Ameliano,0.0,4.0,3.0,2.0,,,4,4
1187131,11,2024,Group Stage - 3,Nacional Asuncion,Racing Montevideo,2.0,2.0,,,,,7,2
1187132,11,2024,Group Stage - 3,Metropolitanos FC,Lanus,0.0,2.0,4.0,1.0,,,8,2
1187133,11,2024,Group Stage - 3,Fortaleza EC,Boca Juniors,4.0,2.0,4.0,3.0,1.0,0.0,5,7
1187134,11,2024,Group Stage - 3,Always Ready,Cesar Vallejo,2.0,0.0,0.0,4.0,,,9,4
1187135,11,2024,Group Stage - 3,Independiente Medellin,Defensa Y Justicia,2.0,1.0,3.0,4.0,,,2,9
1187136,11,2024,Group Stage - 3,Delfin SC,Internacional,1.0,2.0,2.0,3.0,,,2,3
1187137,11,2024,Group Stage - 4,Racing Montevideo,Argentinos JRS,2.0,1.0,1.0,2.0,,,3,9
1187138,11,2024,Group Stage - 4,Nacional Asuncion,Corinthians,0.0,2.0,3.0,1.0,1.0,0.0,8,6
1187139,11,2024,Group Stage - 4,Cesar Vallejo,Independiente Medellin,1.0,5.0,2.0,1.0,,,6,2
1187140,11,2024,Group Stage - 4,Real Tomayapo,Internacional,0.0,2.0,3.0,1.0,1.0,0.0,1,14
1187141,11,2024,Group Stage - 4,Alianza Petrolera,Cruzeiro,0.0,3.0,3.0,2.0,,,2,9
1187142,11,2024,Group Stage - 4,Sportivo Ameliano,Danubio,2.0,1.0,1.0,1.0,,,7,5
1187143,11,2024,Group Stage - 4,Always Ready,Defensa Y Justicia,3.0,0.0,0.0,5.0,0.0,1.0,5,4
1187144,11,2024,Group Stage - 4,Rayo Zuliano,Atletico Paranaense,1.0,5.0,2.0,1.0,,,5,4
1187145,11,2024,Group Stage - 4,Sportivo Luqueno,Coquimbo Unido,0.0,0.0,2.0,3.0,,,6,3
1187146,11,2024,Group Stage - 4,Nacional Potosí,Fortaleza EC,4.0,1.0,2.0,1.0,,,8,2
1187147,11,2024,Group Stage - 4,Cuiaba,Metropolitanos FC,3.0,0.0,1.0,4.0,,,7,4
1187148,11,2024,Group Stage - 4,Sportivo Trinidense,Boca Juniors,1.0,2.0,6.0,2.0,1.0,0.0,1,8
1187149,11,2024,Group Stage - 4,Belgrano Cordoba,Delfin SC,1.0,1.0,4.0,4.0,1.0,0.0,4,3
1187150,11,2024,Group Stage - 4,RB Bragantino,Racing Club,2.0,1.0,1.0,3.0,,,4,9
1187151,11,2024,Group Stage - 4,Deportivo Garcilaso,Lanus,0.0,2.0,3.0,5.0,,,16,1
1187152,11,2024,Group Stage - 4,Universidad Catolica,Union La Calera,4.0,0.0,0.0,1.0,,,8,2
1187153,11,2024,Group Stage - 5,Racing Montevideo,Nacional Asuncion,2.0,1.0,2.0,2.0,,,5,3
1187154,11,2024,Group Stage - 5,Defensa Y Justicia,Independiente Medellin,1.0,1.0,4.0,5.0,,,10,0
